Feature,Importance
SpMax1_Bhm,20
AMR,19
ETA_EtaP,17
SpMin4_Bhm,16
ATSC7v,16
nAtomP,15
nBondsD,15
ATSC6c,14
MDEC-22,13
ATSC8v,13
SdssC,12
SpMax5_Bhv,12
SpMax3_Bhm,11
GATS1i,11
ATSC8i,11
XLogP,11
maxHBint9,11
MDEC-33,10
GATS5c,10
ATSC5v,10
MLFER_BH,10
ATSC7s,9
VR1_DzZ,9
minaaN,9
GATS4m,9
ATSC7c,8
AATS5s,8
GATS3i,8
SHBint4,8
ATSC8c,8
MDEC-12,8
MDEO-11,8
GATS7c,8
maxHBa,8
AATSC6v,8
AATSC5s,8
ZMIC3,8
GATS4c,8
SpMax4_Bhv,8
GATS5m,8
AATS3s,8
ATSC1i,8
SpMin5_Bhm,8
ATSC7i,7
AATS8v,7
ETA_Beta,7
ATSC6p,7
ATSC8p,7
BCUTw-1h,7
VC-5,7
SssssC,7
ATSC8m,7
AATS8i,7
ATSC7p,6
MLFER_S,6
AATS4e,6
ATSC8e,6
SpMax5_Bhm,6
GATS4s,6
GATS8c,6
ATSC6i,6
GATS6c,6
VE3_Dzp,6
VE3_Dt,6
MIC0,6
minHBint5,6
ETA_BetaP,6
maxssCH2,6
ATSC2e,6
maxHBd,6
GATS8m,6
nHother,5
VR1_Dt,5
ATSC6e,5
ATSC1m,5
ALogp2,5
ALogP,5
ATSC4c,5
naAromAtom,5
AATS6s,5
MLFER_E,5
nAcid,5
AATSC8s,5
GATS8s,5
SC-3,5
AATS0e,5
LipoaffinityIndex,5
MDEC-11,5
minaasC,5
SsCl,5
ATSC8s,5
nAtomLAC,5
ATSC4v,5
GATS4e,5
gmin,5
ATSC6v,5
CrippenLogP,5
GATS8e,5
VE1_Dt,4
VE3_Dzi,4
AATS6e,4
AATS7i,4
AATS3i,4
ATSC3c,4
AATS1s,4
VR1_D,4
nwHBa,4
minsssN,4
VE3_Dzv,4
SpMax6_Bhv,4
VPC-4,4
SC-5,4
ATSC4m,4
mindO,4
hmax,4
VE1_Dzv,4
minHBint8,4
ATSC3p,4
R_TpiPCTPC,4
SHBint7,4
GATS6s,4
GATS2s,4
GATS3c,4
GATS5e,4
AATS8m,4
ATSC5i,4
minHBint6,4
MDEC-23,3
AATS8e,3
AATS5i,3
AATS3e,3
minHssNH,3
minssO,3
minHCsats,3
minssNH,3
AATSC7s,3
ATSC7m,3
IC2,3
ZMIC1,3
MIC1,3
ATSC2v,3
maxHBint6,3
ATSC3v,3
ATSC5p,3
VE1_Dzs,3
BCUTp-1h,3
SaasC,3
SssCH2,3
VE1_DzZ,3
VE3_DzZ,3
GATS3s,3
SpMax2_Bhs,3
SpMax4_Bhs,3
SpMax5_Bhs,3
SpMax4_Bhm,3
SpMin6_Bhm,3
SpMax3_Bhs,3
AATS7v,3
AATS5m,3
AATS1m,3
AATS0v,2
AATS6v,2
SpMax6_Bhm,2
SpMax8_Bhv,2
SCH-6,2
SpMax7_Bhm,2
SpMax8_Bhm,2
AATS2i,2
ATSC2c,2
ATSC2m,2
VE1_D,2
MDEN-33,2
minHCsatu,2
minsCH3,2
minsCl,2
maxHBint3,2
maxHssNH,2
maxHBint5,2
maxHBint4,2
maxHother,2
ATSC6m,2
ATSC7e,2
ATSC3m,2
ATSC3i,2
maxsssCH,2
ATSC4p,2
IC1,2
IC3,2
AATS0s,2
VE3_D,2
GATS2i,2
ATSC1s,2
ATSC4i,2
AATSC0v,2
minHBa,2
GATS6e,2
ATSC4s,2
GATS2e,2
GATS7e,2
nBase,2
nHCsatu,2
ndsN,2
SpMAD_Dt,2
SpMax1_Bhs,2
AATS1i,2
ATS0s,1
n6HeteroRing,1
SpMax7_Bhs,1
SpMax6_Bhs,1
nCl,1
minsssCH,1
minsF,1
GATS2c,1
maxHBint2,1
AATS4s,1
ATSC5e,1
maxHBint8,1
maxHBint7,1
EE_Dt,1
nsssCH,1
naaN,1
minHBint2,1
minHBint7,1
GATS7m,1
SwHBa,1
minwHBa,1
minHBd,1
BCUTp-1l,1
nssCH2,1
ATSC1v,1
SpMax7_Bhv,1
VCH-6,1
SpMin7_Bhm,1
C2SP2,1
SCH-5,1
C1SP3,1
AATS6i,1
ATSC1e,1
MLogP,1
AATS8s,1
AATS4i,1
MDEN-22,1
C2SP3,0
C3SP3,0
nFG12Ring,0
nF10Ring,0
C4SP3,0
C3SP2,0
SCH-3,0
n6Ring,0
n7Ring,0
nFRing,0
n5Ring,0
nF8Ring,0
nO,0
nBr,0
ATS0m,0
nX,0
nRing,0
n4Ring,0
nF,0
nS,0
nF9Ring,0
nTRing,0
n4HeteroRing,0
nHeteroRing,0
LipinskiFailures,0
C1SP2,0
ATSC3s,0
minHBint9,0
minHBint10,0
minHsOH,0
minHBint3,0
minHBint4,0
nssO,0
ndO,0
nssS,0
ndS,0
nsOm,0
naaO,0
SM1_DzZ,0
GATS5s,0
GATS6m,0
GATS3e,0
naasN,0
nHaaNH,0
nHsNH2,0
nHsOH,0
nHBint10,0
nHBint8,0
nHBint7,0
nsCH3,0
VE3_Dze,0
nssssC,0
naaaC,0
SpMAD_Dzs,0
VE3_Dzs,0
