iteration,r2_train,r2_test,rmse_train,rmse_test
0,0.9291395698929892,-0.31751108978093434,0.3688168755115551,1.5823237375098924
1,0.9444962472100739,-0.2495705350998514,0.3286733874454822,1.5615691660331905
2,0.9135740345471836,-0.3219984407124352,0.40192398911890315,1.61704054964335
3,0.9309508980930864,-0.35027180179000705,0.35989865277360256,1.6082871432117343
4,0.9382729402383486,-0.3291822306740546,0.34937315183778755,1.569887605530398
5,0.92171122687183,-0.23525009424313748,0.38371656806636895,1.5169849690700428
6,0.9313268838287432,-0.3270440973350137,0.35537303000184517,1.6821979208269073
7,0.9164543152311379,-0.27356467090782677,0.3962240633589445,1.617317677919329
8,0.9205503713448995,-0.13885018990767195,0.386398997212011,1.5552315474904683
9,0.9330994798659261,-0.18923238746536208,0.35699187821284334,1.518783904786102
