Feature,Importance
naAromAtom,0.37596642050628143
nAcid,0.07146676727558815
SaasC,0.046213529069837424
SpMax1_Bhm,0.03841004263374059
nBondsD,0.034541627053186655
SpMax3_Bhm,0.030841381420617407
MLFER_S,0.02458164523982635
minwHBa,0.02417173205119173
maxHBa,0.020807864511762586
ETA_EtaP,0.020606301555433477
SpMax4_Bhv,0.019203963342187033
ATSC8c,0.015692515230169343
VE3_Dzs,0.014577731959070112
ATSC4c,0.014105978720753951
MDEO-11,0.013971501295240097
gmin,0.011970295892228958
VE1_Dzs,0.011810549224839026
AATS6s,0.011278900781962913
VE3_Dzv,0.010191488877946365
SpMin4_Bhm,0.009980332587427901
SpMin6_Bhm,0.008577002992393576
ATSC7p,0.008484239813203617
GATS6m,0.008236081896678965
ATSC8m,0.007548515818914342
maxHBd,0.007431189056288168
ATSC1m,0.00729986108246471
GATS2c,0.0072364738087242865
ATSC2m,0.006560273912032862
IC3,0.0065098276951954
CrippenLogP,0.0065085459258807125
MDEC-33,0.006405125004791487
AATS7s,0.006335001033950622
VC-5,0.006068446127819309
GATS5m,0.005836566828819618
minHsOH,0.005802706143472132
SpMax4_Bhm,0.005801123873546338
AATS8e,0.005776483344523976
SssssC,0.005740675514506062
GATS8m,0.005514245342791085
SpMax5_Bhv,0.0054969727415767845
ETA_Beta,0.0054206662684589185
AATS6v,0.005365604689504872
AATSC5s,0.005314551717630684
SCH-6,0.005302729629994066
ndsN,0.005152856971282925
hmin,0.004978345564185139
VPC-4,0.00460184728382717
SpMin5_Bhm,0.004402937629559732
apol,0.0034163563896466805
maxHssNH,0.002484176669044385
