Smiles,Actual pIC50,Predicted pIC50,Set
CCCC1=C(SC2=N[C@H]([C@H](N12)C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)Cl)C(=O)N5CCNC(=O)C5,5.508638306,5.7886498218057145,Train
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@@H]2CCCN(CC(F)(F)F)C2)C1=O,7.397940009,7.626001914271971,Train
CC[C@@H](C)Oc1cc2c(cc1OC)CC(=O)N(c1ccc(C(C)N(C(C)=O)[C@H]3CC[C@@H](N(C)C)CC3)cc1)C2c1ccc(Cl)cc1,7.159266765,7.406900889643116,Train
CC[C@@H](CC(C)O)N1[C@@H]([C@H](C[C@](C1=O)(C)CC(=O)O)C2=CC(=CC=C2)Cl)C3=CC=C(C=C3)Cl,8.0,8.024747269791284,Train
CC[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)c2ccccc2)C2CC2)C1=O,8.795880017,8.863122193494931,Train
CN1[C@@H]([C@@H](O[C@H](C1=O)CC2=CC=C(C=C2)Br)C3=CC=C(C=C3)Br)C4=CC=C(C=C4)Br,5.823908741,5.820696794694424,Train
CCOC1=C(C=CC(=C1)C(C)(C)C)C2=N[C@@]([C@@](N2C(=O)N3CCN(CC3)CCC(F)(F)F)(C)C4=CC=C(C=C4)Cl)(C)C5=CC=C(C=C5)Cl,5.602059991,6.005406035109797,Train
CC[C@@H](CS(=O)(=O)C1CCCC1)N2[C@@H]([C@H](C[C@](C2=O)(C)CC(=O)O)C3=CC(=CC=C3)Cl)C4=CC=C(C=C4)Cl,9.522878745,9.465182233063356,Train
C[C@@H]1CC[C@H](N1C(=O)C2=C(N3[C@@H]([C@](N=C3S2)(C)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl)C(C)C)C(=O)N6CCN([C@H](C6)C)C,7.795880017,7.725548798502835,Train
CC(C)(C)NC(=O)C1=C(SC(=C1C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)Cl)N,5.053056729,5.270881518292126,Train
CC1=NC(=CC=C1)NC(C2=CC=C(C=C2)OC(F)(F)F)C3=C(C4=C(C=CC=N4)C=C3)O,5.026872146,5.154432768428657,Train
C[C@@]1(C[C@@H]([C@H](N(C1=O)[C@H](CS(=O)(=O)NC)C2CC2)C3=CC=C(C=C3)Cl)C4=CC(=CC=C4)Cl)CC(=O)O,7.638272164,8.193792099451338,Train
C1CCC(CC1)C2=NC(=C(N2C3=C(C(=CC=C3)Cl)F)C4=CC(=C(C=C4)F)Cl)C5=NN=C(O5)N,8.22184875,7.978293574629995,Train
