naAromAtom,nBondsD,nAcid,SaasC,SpMax3_Bhm,ETA_EtaP,SpMax1_Bhm,MDEO-11,SpMax4_Bhm,MLFER_S,maxHBa,ATSC4c,SpMax4_Bhv,VPC-4,ATSC8c,VE3_Dzs,AATS6s,VE1_Dzs,minHsOH,gmin,GATS2c,minwHBa,CrippenLogP,SpMax5_Bhv,VE3_Dzv,GATS6m,ATSC2m,ATSC8m,VC-5,MDEC-33,maxHssNH,AATS6v,SpMin6_Bhm,AATS8e,GATS8m,maxHBd,IC3,AATS7s,hmin,SpMin5_Bhm,SssssC,ndsN,ATSC1m,SCH-6,GATS5m,ETA_Beta,SpMin4_Bhm,AATSC5s,ATSC7p,apol
0,8.0,0,0.0,3.432318191,0.66647,3.85011453,0.125,3.17771196,3.26,12.04579113,-0.209513811,3.057813296,0.744252337,0.175971936,-6.504641908,3.511015326,0.038684319,0.0,-0.252523148,0.637140039,-0.252523148,3.67968,2.792101677,-5.225681502,1.013741587,149.9317547,131.7936339,0.041066607,4.263256607,0.497188695,177.1620663,1.102832963,7.550865021,0.909713497,0.523150327,4.479143374,3.100217865,0.287117504,1.195626466,0.0,0.0,-17.51931484,0.166666667,0.968766111,24.25,1.289062887,-0.037335601,-1.248456945,41.305895
0,5.0,0,0.0,3.462513584,0.80336,3.764871719,0.464158883,3.203542946,2.478,11.59141463,-0.045500602,3.092324045,0.308313037,-0.261467758,-2.17585438,2.833333333,0.31816457,0.793998463,-0.359425318,0.774488473,-0.359425318,2.4711,2.780410043,-3.099240238,1.081381728,-226.883799,-172.5696599,0.0,0.598408481,0.701763459,138.2928296,1.102295258,7.590818596,1.065011331,0.793998463,4.342969206,2.688888889,0.329513588,1.177163174,0.0,0.0,-17.18919744,0.102062073,1.029499062,18.5,1.407429495,-0.260515126,-0.146819684,42.58186
0,6.0,0,0.0,3.358185975,0.90133,3.997865651,0.333333333,3.099586588,2.152,10.26032195,-0.085668657,3.078332031,1.9669593,-0.100219001,-3.065701427,2.666666667,0.215919265,0.428595522,-0.037993433,0.942977087,-0.037993433,2.5088,2.810182635,-4.467312566,1.142160398,171.5021985,-154.0431249,0.209634507,12.94860915,0.0,146.3919749,1.082369627,7.570873714,1.269987377,0.511770873,4.810672622,2.599033816,-0.108682681,1.339346326,0.0,0.0,38.23300932,0.224513414,0.963818477,21.75,1.426475972,0.000725,-1.729171185,43.959481
6,1.0,0,0.178697589,3.07905266,0.7054,3.996032105,1.243816058,2.968673776,1.545,11.56642621,0.040799554,2.833148089,1.055711747,-0.136477356,-1.776004315,4.61687631,0.35179438,0.483131378,-1.289931028,0.862893605,0.178697589,-2.73513,2.661488024,-3.101513864,1.079950181,-116.0842617,-141.0593598,0.095563631,5.931661303,0.0,140.6382163,0.963232377,7.874274069,1.148903943,0.622003496,4.696131794,4.681818182,-0.053676304,1.071537503,0.0,0.0,-65.02825085,0.326092699,1.029573791,20.5,1.138559185,-0.051762189,-0.48547652,32.485102
0,3.0,0,0.0,3.044261851,0.78792,3.825514947,1.243816058,2.920086523,1.735,11.51087065,-0.02676984,2.752874485,1.034325505,-0.121846858,-2.120577877,4.903628118,0.287251037,0.490075822,-1.309931028,0.884052459,-0.694592782,-2.44422,2.654052928,-5.455455027,1.060408155,-105.2347295,-210.5489297,0.093957392,5.931661303,0.0,145.1276501,0.860224633,7.94909552,1.232428322,0.625909746,4.640223929,5.128205128,-0.043676304,1.019726921,0.0,1.0,-59.09424591,0.326092699,1.035302409,16.5,1.107090939,-0.084540895,-0.641940061,31.818309
0,16.0,0,0.0,3.802393128,1.66956,3.988611456,4.500459846,3.77974919,5.288,15.48379502,-0.556237274,3.758600744,8.033191369,-0.111437336,-8.219134061,3.992802303,0.265625785,-0.301037066,-2.390958147,0.945728363,-1.231490182,3.32079,3.744842116,-4.121450284,1.055059448,908.1759065,467.0421684,1.394955893,33.6471174,0.350113801,182.5557331,1.643441755,7.768932078,1.011232556,0.350113801,5.810637369,4.123703371,-0.73548567,1.913033942,-7.876879185,0.0,125.3257853,0.771877833,0.969891655,62.75,1.919377337,0.06343002,-17.9841369,129.054443
0,12.0,0,0.0,3.868966372,1.16123,4.0052362,0.2,3.718186893,3.264,14.40806581,0.040732031,3.567142021,2.582616522,-0.026081329,-5.875316284,3.087874912,0.230194869,0.0,-0.394586159,1.043447443,-0.245492946,5.70439,3.400305596,-13.44523637,0.779811438,463.2428395,-238.667693,0.163066352,18.44138893,0.415786604,215.6364463,1.435202111,7.650163936,0.82107867,0.415786604,5.268359267,2.988090535,-0.338098864,1.72603667,0.0,1.0,114.2089206,0.499485066,0.600186892,44.5,1.812299342,0.119464912,-2.598043705,84.77179
0,6.0,0,0.0,3.358185975,0.90133,3.997865651,0.333333333,3.099586588,2.152,10.26032195,-0.085668657,3.078332031,1.9669593,-0.100219001,-3.065701427,2.666666667,0.215919265,0.428595522,-0.037993433,0.942977087,-0.037993433,2.5088,2.810182635,-4.467312566,1.142160398,171.5021985,-154.0431249,0.209634507,12.94860915,0.0,146.3919749,1.082369627,7.570873714,1.269987377,0.511770873,4.810672622,2.599033816,-0.108682681,1.339346326,0.0,0.0,38.23300932,0.224513414,0.963818477,21.75,1.426475972,0.000725,-1.729171185,43.959481
0,9.0,0,0.0,3.678133939,0.84951,3.985583029,0.25,3.459374015,3.764,12.09025076,0.165329653,3.085642626,1.709376782,0.038081596,-13.67217508,2.825829097,0.003356892,0.0,-0.334362069,0.592819975,-0.334362069,1.75285,2.937456387,-8.684463495,0.757847667,740.1793647,-606.2255377,0.145590193,10.02700338,0.502009835,164.0928833,1.201969524,7.726318767,1.209382702,0.502009835,4.570609017,2.948033305,0.015700908,1.378094742,0.0,0.0,28.64316588,0.396940206,0.720578404,28.75,1.575755842,-0.008261958,2.785514767,50.819481
0,9.0,0,0.0,3.798173213,0.84477,3.994881302,0.25,3.484142127,3.921,12.09479466,0.123184937,3.081938981,1.735144583,0.066612641,-8.400949643,2.828823212,0.030185437,0.0,-0.328954457,0.576456815,-0.328954457,2.32352,2.927006065,-9.11361693,0.616248331,634.5069638,-1579.027183,0.145590193,10.02700338,0.501838367,167.20741,1.099501213,8.095713049,1.871383301,0.501838367,4.471354487,2.981430041,0.015015037,1.201976457,0.0,0.0,-0.560952371,0.396940206,0.588814222,29.0,1.566318209,-0.047651563,6.084412155,49.239102
